순위,선수명,팀명,AVG,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,GDP,SB,CS,year
41,이호준,NC,0.298,399,46,119,20,0,21,87,77,23,126,6,3,2,2016
33,나지완,KIA,0.308,380,84,117,21,2,25,90,51,4,69,15,6,3,2016
35,에반스,두산,0.308,400,69,123,31,0,24,81,49,14,58,14,0,0,2016
48,고메즈,SK,0.283,456,74,129,31,0,21,62,25,5,87,11,16,8,2016
18,강민호,롯데,0.323,381,65,123,26,0,20,72,60,6,80,7,4,0,2016
13,송광민,한화,0.325,449,80,146,27,2,17,83,65,7,97,7,3,0,2016
3,이용규,한화,0.352,452,98,159,20,4,3,41,35,5,99,7,21,11,2016
8,유한준,KT,0.336,408,70,137,22,0,14,64,54,5,82,10,4,1,2016
6,구자욱,삼성,0.343,428,105,147,19,13,14,77,36,10,104,7,10,5,2016
23,오재일,두산,0.316,380,69,120,20,2,27,92,27,7,93,18,1,0,2016
